Station,County,Line,London_Terminus,Operator,Drive_Time_Horsham_Minutes,Drive_Time_Hertford_Minutes,Latitude,Longitude,Train_Times_To_Terminals,Min_Train_Time_Minutes
Didcot Parkway,Oxfordshire,GWR,Paddington,,103,96,51.61100709999999,-1.2428193,Paddington:43,43
Diss,Norfolk,Greater Anglia,Liverpool Street,,178,102,52.373676,1.123725,Liverpool Street:99,99
Dorchester South,Dorset,South Western Main Line (SWR),Waterloo,,149,182,50.70928199999999,-2.43724,Waterloo:356,356
Dorking,Surrey,Dorking Line (Southern / SWR),Victoria / Waterloo,,22,82,51.2408718,-0.3240387,"Victoria:67, Waterloo:61",61
Dorking West,Surrey,New Guildford Line (SWR),Waterloo,,22,84,51.2364275,-0.3396402,Waterloo:79,79
Dover Priory,Kent,Southeastern / HS1,Victoria / Charing Cross / St Pancras International,,95,112,51.1258166,1.3053609,"Victoria:89, Charing Cross:91, St Pancras International:67",67
Downham Market,Norfolk,Greater Anglia,Liverpool Street,,168,93,52.60409509999999,0.3796495,Liverpool Street:118,118
Dunton Green,Kent,Tonbridge Line (Southeastern),Charing Cross / London Bridge,,42,64,51.293989,0.168881,"Charing Cross:58, London Bridge:47",47
Durrington-on-Sea,West Sussex,West Coastway (Southern),Victoria,,30,127,50.81748469999999,-0.4114158,Victoria:92,92
Earley,Berkshire,Reading via Ascot (SWR),Waterloo,,73,72,51.4409613,-0.9177996999999999,Waterloo:61,61
Eastbourne,East Sussex,East Coastway (Southern),Victoria / London Bridge,,62,128,50.7694189,0.2811993,"Victoria:115, London Bridge:113",113
East Croydon,Greater London,Brighton Main Line (Southern / Thameslink / Southeastern),Victoria / London Bridge / Blackfriars / Charing Cross,,46,82,51.3750493,-0.0926978,"Victoria:16, London Bridge:22, Blackfriars:27, Charing Cross:35",16
East Farleigh,Kent,Medway Valley (Southern),Victoria,,60,77,51.251788,0.4843209999999999,Victoria:94,94
East Grinstead,West Sussex,Oxted Line (Southern),Victoria / London Bridge,,29,88,51.126464,-0.0174314,"Victoria:57, London Bridge:57",57
Eastleigh,Hampshire,South Western Main Line (SWR),Waterloo,,90,120,50.967182,-1.374688,Waterloo:82,82
East Malling,Kent,Maidstone West Line (Southeastern),Charing Cross / London Bridge,,54,72,51.287435,0.440026,"Charing Cross:73, London Bridge:60",60
Ebbsfleet International,Kent,HS1 (Southeastern),St Pancras International,,54,55,51.4430567,0.3209221,St Pancras International:21,21
Edenbridge,Surrey,Oxted Line (Southern),Victoria / London Bridge,,39,75,51.20837059999999,0.06038880000000001,"Victoria:67, London Bridge:63",63
Edenbridge Town,Surrey,Oxted Line (Southern),Victoria / London Bridge,,39,78,51.20008,0.0672,"Victoria:50, London Bridge:46",46
Effingham Junction,Surrey,New Guildford Line (SWR),Waterloo,,37,73,51.2914781,-0.4196482,Waterloo:55,55
Egham,Surrey,Windsor / Reading via Ascot (SWR),Waterloo,,54,57,51.4293406,-0.5470285,Waterloo:48,48
Elmswell,Suffolk,Greater Anglia,Liverpool Street,,155,80,52.23805609999999,0.9126569,Liverpool Street:108,108
Elstree & Borehamwood,Hertfordshire,Thameslink,St Pancras / Blackfriars,,84,28,51.6531143,-0.2797268,"St Pancras:30, Blackfriars:36",30
Ely,Cambridgeshire,Greater Anglia / Thameslink,Liverpool Street / King's Cross,,144,71,52.390988,0.2665389,"Liverpool Street:102, King's Cross:83",83
Emsworth,Hampshire,West Coastway (Southern),Victoria,,56,117,50.848132,-0.937928,Victoria:111,111
Enfield Lock,Hertfordshire,West Anglia Main Line (Greater Anglia),Liverpool Street,,84,20,51.6682711,-0.0420368,Liverpool Street:48,48
Epsom,Surrey,Epsom Line (Southern / SWR),Victoria / London Bridge / Waterloo,,38,81,51.33510039999999,-0.2637125,"Victoria:48, London Bridge:58, Waterloo:43",43
Etchingham,East Sussex,Hastings Line (Southeastern),Charing Cross,,71,93,51.0105991,0.4423045,Charing Cross:76,76
Ewell East,Surrey,Epsom Line (Southern),London Bridge / Victoria,,41,82,51.34529,-0.2415,"London Bridge:41, Victoria:43",41
Ewell West,Surrey,Epsom Line (SWR),Waterloo,,41,83,51.3500678,-0.2569679,Waterloo:39,39
Exeter Central,Devon,GWR,Paddington,,210,229,50.7260089,-3.5332598,Paddington:306,306
Exeter St. Davids,Devon,GWR,Paddington,,210,230,50.729369,-3.5435122,Paddington:338,338
Eynsford,Kent,Maidstone East Line (Southeastern),Victoria,,52,60,51.3651346,0.2097801,Victoria:52,52
Falmer,East Sussex,Brighton Main Line (Southern),Victoria / London Bridge,,34,114,50.8668892,-0.0875363,"Victoria:100, London Bridge:98",98
Fareham,Hampshire,Fareham Line (SWR / Southern),Waterloo / Victoria,,67,122,50.8530568,-1.1919279,"Waterloo:116, Victoria:139",116
Farnborough (Main),Hampshire,South Western Main Line (SWR),Waterloo,,62,73,51.2966348,-0.755443,Waterloo:42,42
Farnborough North,Hampshire,North Downs Line (SWR),Waterloo,,60,71,51.3019894,-0.7429568,Waterloo:64,64
Farncombe,Surrey,Portsmouth Direct (SWR),Waterloo,,40,84,51.1975213,-0.602507,Waterloo:51,51
Farnham,Surrey,Alton Line (SWR),Waterloo,,67,122,50.8530568,-1.1919279,Waterloo:116,116
Farningham Road,Kent,Chatham Main Line (Southeastern),Victoria,,51,56,51.4015639,0.2355141,Victoria:52,52
Faversham,Kent,Chatham Main Line (Southeastern),Victoria / Charing Cross,,78,85,51.315994,0.889358,"Victoria:82, Charing Cross:88",82
Faygate,West Sussex,Horsham Line (Southern),Victoria,,7,95,51.09589,-0.26299,Victoria:58,58
Felixstowe,Suffolk,Greater Anglia,Liverpool Street,,130,91,51.96708,1.35047,Liverpool Street:110,110
Finsbury Park,Greater London,Great Northern (Thameslink),King's Cross / Moorgate,,89,45,51.5641721,-0.1059154,"King's Cross:12, Moorgate:17",12
Fishbourne,West Sussex,West Coastway (Southern),Victoria,,47,123,50.8390524,-0.8147871,Victoria:100,100
Fleet,Hampshire,South Western Main Line (SWR),Waterloo,,63,74,51.2904952,-0.8314113999999999,Waterloo:49,49
Flitwick,Bedfordshire,Thameslink,St Pancras / Blackfriars,,97,49,52.004605,-0.4979453,"St Pancras:43, Blackfriars:57",43
Folkestone Central,Kent,Southeastern,Charing Cross / Victoria,,90,107,51.0828474,1.169609,"Charing Cross:80, Victoria:78",78
Folkestone West,Kent,Southeastern,Charing Cross / Victoria,,88,105,51.084587,1.153935,"Charing Cross:77, Victoria:75",75
Ford,West Sussex,West Coastway / Arun Valley (Southern),Victoria,,36,127,50.8293679,-0.5779944,Victoria:98,98
Fratton,Hampshire,Portsmouth Direct (SWR),Waterloo,,65,120,50.79648049999999,-1.073868,Waterloo:101,101
Frimley,Surrey,SWR,Waterloo,,59,69,51.3118428,-0.7469791,Waterloo:77,77
Frinton-on-Sea,Essex,Greater Anglia,Liverpool Street,,127,88,51.830433,1.247224,Liverpool Street:115,115
Gatwick Airport,West Sussex,Brighton Main Line (Southern / Thameslink),Victoria / London Bridge / St Pancras,,22,85,51.1566363,-0.1611604,"Victoria:40, London Bridge:37, St Pancras:52",37
Gerrards Cross,Buckinghamshire,Chiltern Railways,Marylebone,,67,53,51.5890655,-0.5552005,Marylebone:33,33
Gillingham (Kent),Kent,Chatham Main Line (Southeastern),Victoria / Charing Cross,,68,69,51.386322,0.551438,"Victoria:61, Charing Cross:67",61
Glynde,East Sussex,East Coastway (Southern),Victoria / London Bridge,,42,117,50.8591811,0.0701656,"Victoria:83, London Bridge:81",81
Godalming,Surrey,Portsmouth Direct (SWR),Waterloo,,37,86,51.18535050000001,-0.6097526,Waterloo:45,45
Godstone,Surrey,Oxted Line (Southern),London Bridge / Victoria,,32,74,51.21814999999999,-0.05006,"London Bridge:78, Victoria:60",60
Goring-by-Sea,West Sussex,West Coastway (Southern),Victoria,,29,127,50.8177457,-0.4329551,Victoria:95,95
Goring & Streatley,Oxfordshire,GWR,Paddington,,95,92,51.5214981,-1.1329594,Paddington:58,58
Gravesend,Kent,North Kent Line (Southeastern),Charing Cross / London Bridge,,60,61,51.44188399999999,0.370759,"Charing Cross:65, London Bridge:54",54
Great Chesterford,Essex,West Anglia Main Line (Greater Anglia),Liverpool Street,,111,44,52.062757,0.19682,Liverpool Street:76,76
Great Missenden,Buckinghamshire,Chiltern Railways,Marylebone,,79,55,51.702655,-0.70319,Marylebone:50,50
Great Yarmouth,Norfolk,Greater Anglia,Liverpool Street,,227,141,52.6120192,1.720634,Liverpool Street:165,165
Guildford,Surrey,South Western Main Line / Portsmouth Direct (SWR),Waterloo,,42,79,51.2366845,-0.5803227,Waterloo:39,39
Haddenham & Thame Parkway,Oxfordshire,Chiltern Railways,Marylebone,,93,68,51.77088639999999,-0.9421125999999999,Marylebone:42,42
Halesworth,Suffolk,Greater Anglia,Liverpool Street,,203,128,52.343264,1.502642,Liverpool Street:151,151
Halling,Kent,Medway Valley (Southern),Victoria,,55,65,51.352474,0.444961,Victoria:76,76
Hampton,Surrey,Shepperton Branch (SWR),Waterloo,,51,67,51.4133939,-0.366712,Waterloo:49,49
Harpenden,Hertfordshire,Thameslink,St Pancras / Blackfriars,,87,28,51.8149774,-0.3520226,"St Pancras:29, Blackfriars:38",29
Harrietsham,Kent,Maidstone East Line (Southeastern),Victoria,,64,81,51.2419709,0.6750028,Victoria:85,85
Harling Road,Norfolk,Greater Anglia,Liverpool Street,,160,85,52.45381760000001,0.9098668000000001,Liverpool Street:148,148
Harlington,Bedfordshire,Thameslink,St Pancras / Blackfriars,,93,46,51.9617608,-0.4955865,"St Pancras:51, Blackfriars:61",51
Harlow Mill,Essex,West Anglia Main Line (Greater Anglia),Liverpool Street,,83,17,51.7904146,0.1324026,Liverpool Street:45,45
Harlow Town,Essex,West Anglia Main Line (Greater Anglia),Liverpool Street,,85,13,51.7810459,0.0951436,Liverpool Street:38,38
Harpenden,Hertfordshire,Thameslink,St Pancras / Blackfriars,,87,28,51.8149774,-0.3520226,"St Pancras:29, Blackfriars:38",29
Harwich International,Essex,Greater Anglia,Liverpool Street,,125,86,51.9473174,1.2551671,Liverpool Street:92,92
Haslemere,Surrey,Portsmouth Direct (SWR),Waterloo,,41,94,51.090856,-0.7133729999999999,Waterloo:56,56
Hassocks,West Sussex,Brighton Main Line (Southern / Thameslink),Victoria / London Bridge / St Pancras,,30,110,50.92445110000001,-0.1436141,"Victoria:56, London Bridge:56, St Pancras:74",56
Hastings,East Sussex,Hastings Line (Southeastern),Charing Cross,,83,115,50.85789,0.57677,Charing Cross:103,103
Hatfield,Hertfordshire,East Coast Main Line (Thameslink),King's Cross / St Pancras,,87,12,51.7639107,-0.2156156,"King's Cross:31, St Pancras:32",31
Hatfield Peverel,Essex,Greater Anglia,Liverpool Street,,89,54,51.775127,0.5930099999999999,Liverpool Street:46,46
Havant,Hampshire,Portsmouth Direct (SWR) / West Coastway (Southern),Waterloo / Victoria,,57,117,50.85431029999999,-0.9816018999999999,"Waterloo:91, Victoria:115",91
Haywards Heath,West Sussex,Brighton Main Line (Southern / Thameslink),Victoria / London Bridge / St Pancras,,25,100,50.9958936,-0.1005982,"Victoria:47, London Bridge:51, St Pancras:62",47
Headcorn,Kent,Tonbridge - Hastings Line (Southeastern),Charing Cross / London Bridge,,72,89,51.16943000000001,0.619856,"Charing Cross:73, London Bridge:62",62
Hemel Hempstead,Hertfordshire,West Coast Main Line (LNR),Euston,,74,38,51.7424378,-0.4908260999999999,Euston:29,29
Henley-on-Thames,Oxfordshire,Henley Branch (GWR),Paddington,,75,71,51.535764,-0.902894,Paddington:47,47
Herne Bay,Kent,Chatham Main Line (Southeastern),Victoria,,90,97,51.370922,1.127771,Victoria:99,99
Hersham,Surrey,South Western Main Line (SWR),Waterloo,,46,73,51.37698899999999,-0.3896294,Waterloo:33,33
Hertford East,Hertfordshire,West Anglia Main Line (Greater Anglia),Liverpool Street,,95,0,51.7991612,-0.0727813,Liverpool Street:56,56
Hertford North,Hertfordshire,Great Northern (Thameslink),Moorgate / King's Cross,,94,3,51.7988589,-0.0917571,"Moorgate:51, King's Cross:50",50
Hever,Kent,Oxted Line (Southern),London Bridge / Victoria,,42,81,51.18141,0.0951,"London Bridge:50, Victoria:54",50
High Wycombe,Buckinghamshire,Chiltern Railways,Marylebone,,73,60,51.628611,-0.7482289999999999,Marylebone:35,35
Hildenborough,Kent,Tonbridge Line (Southeastern),Charing Cross / London Bridge,,44,67,51.216814,0.239516,"Charing Cross:45, London Bridge:34",34
Hilsea,Hampshire,Portsmouth Direct (SWR),Waterloo,,60,115,50.8282659,-1.0587088,Waterloo:108,108
Hinchley Wood,Surrey,New Guildford Line (SWR),Waterloo,,44,77,51.3766835,-0.3382215,Waterloo:46,46
Hinton Admiral,Hampshire,South Western Main Line (SWR),Waterloo,,119,148,50.7526437,-1.7139267,Waterloo:117,117
Hitchin,Hertfordshire,East Coast Main Line (Thameslink),King's Cross / St Pancras,,96,27,51.94921,-0.283414,"King's Cross:37, St Pancras:37",37
Hollingbourne,Kent,Maidstone East Line (Southeastern),Victoria,,62,79,51.2652726,0.6278386000000001,Victoria:80,80
Holton Heath,Dorset,South Western Main Line (SWR),Waterloo,,132,163,50.7195829,-2.0848527,Waterloo:399,399
Honeybourne,Worcestershire,GWR,Paddington,,153,140,52.091054,-1.835207,Paddington:103,103
Hook,Hampshire,South Western Main Line (SWR),Waterloo,,70,87,51.28028519999999,-0.9601643000000001,Waterloo:57,57
Horley,Surrey,Brighton Main Line (Southern / Thameslink),Victoria / London Bridge / St Pancras,,23,86,51.173516,-0.172109,"Victoria:34, London Bridge:30, St Pancras:45",30
Horsham,West Sussex,Horsham Line (Southern),Victoria,,0,102,51.06605649999999,-0.3192175,Victoria:55,55
Horsley,Surrey,New Guildford Line (SWR),Waterloo,,37,74,51.2793883,-0.435285,Waterloo:55,55
Hove,East Sussex,West Coastway / Brighton Main Line (Southern),Victoria / London Bridge,,38,118,50.8279319,-0.168749,"Victoria:69, London Bridge:76",69
Hungerford,Berkshire,GWR,Paddington,,102,99,51.41234499999999,-1.517995,Paddington:67,67
Hurst Green,Surrey,Oxted Line (Southern),Victoria / London Bridge,,284,249,53.8365781,-2.4796924,"Victoria:362, London Bridge:369",362
Ipswich,Suffolk,Greater Anglia,Liverpool Street,,124,84,52.0505062,1.1448366,Liverpool Street:75,75
Kelvedon,Essex,Greater Anglia,Liverpool Street,,93,56,51.84070999999999,0.702413,Liverpool Street:55,55
Kempton Park,Surrey,Shepperton Branch (SWR),Waterloo,,53,63,51.4210056,-0.409646,Waterloo:65,65
Kemsing,Kent,Maidstone East Line (Southeastern),Victoria,,47,67,51.3064647,0.216102,Victoria:80,80
Kenilworth,Warwickshire,Chiltern Railways / West Midlands Trains,Marylebone / Euston,,138,120,52.34279009999999,-1.5725409,"Marylebone:129, Euston:84",84
King's Lynn,Norfolk,Greater Anglia,Liverpool Street,,182,108,52.7538711,0.4031345,Liverpool Street:136,136
Kintbury,Berkshire,GWR,Paddington,,102,99,51.396893,-1.442128,Paddington:62,62
Knebworth,Hertfordshire,East Coast Main Line (Thameslink),King's Cross / St Pancras,,93,19,51.8655339,-0.182981,"King's Cross:27, St Pancras:27",27
Laindon,Essex,c2c,Fenchurch Street,,71,46,51.5677814,0.4237201,Fenchurch Street:39,39
Lancing,West Sussex,West Coastway (Southern),Victoria,,31,121,50.828179,-0.328092,Victoria:82,82
Langley,Berkshire,Elizabeth Line / GWR,Paddington,,60,55,51.5080251,-0.5418476999999999,Paddington:35,35
Leagrave,Bedfordshire,Thameslink,St Pancras / Blackfriars,,88,44,51.9051938,-0.4585044,"St Pancras:43, Blackfriars:48",43
Leamington Spa,Warwickshire,Chiltern Railways,Marylebone,,134,115,52.2851905,-1.5200789,Marylebone:84,84
Leatherhead,Surrey,Epsom / Dorking Line (Southern),Victoria / London Bridge,,31,74,51.29640699999999,-0.33112,"Victoria:51, London Bridge:65",51
Leigh-on-Sea,Essex,c2c,Fenchurch Street,,80,61,51.5474028,0.6472768999999999,Fenchurch Street:69,69
Leighton Buzzard,Bedfordshire,West Coast Main Line (LNR),Euston,,101,56,51.9196839,-0.6606569999999999,Euston:31,31
Lenham,Kent,Maidstone East Line (Southeastern),Victoria,,67,84,51.239256,0.7206549999999999,Victoria:88,88
Letchworth Garden City,Hertfordshire,East Coast Main Line (Thameslink),King's Cross / St Pancras,,104,31,51.979074,-0.226624,"King's Cross:31, St Pancras:32",31
Lewes,East Sussex,Brighton Main Line / East Coastway (Southern),Victoria / London Bridge,,40,115,50.8705905,0.0114514,"Victoria:75, London Bridge:73",73
Liphook,Hampshire,Portsmouth Direct (SWR),Waterloo,,49,92,51.07661,-0.801777,Waterloo:63,63
Liss,Hampshire,Portsmouth Direct (SWR),Waterloo,,55,98,51.0436333,-0.8927524,Waterloo:70,70
Littlehampton,West Sussex,West Coastway (Southern),Victoria,,35,132,50.811057,-0.5386609,Victoria:109,109
Littlehaven,West Sussex,Horsham Line (Southern),Victoria,,3,98,51.0795805,-0.3078935,Victoria:51,51
Longfield,Kent,Chatham Main Line (Southeastern),Victoria,,56,57,51.3984535,0.3020453,Victoria:38,38
Longcross,Surrey,Reading via Ascot (SWR),Waterloo,,50,69,51.378499,-0.5795636,Waterloo:93,93
Luton,Bedfordshire,Thameslink / East Midlands Railway,St Pancras / Blackfriars,,87,38,51.8786707,-0.4200255,"St Pancras:28, Blackfriars:43",28
Luton Airport Parkway,Bedfordshire,Thameslink,St Pancras / Blackfriars,,84,33,51.87291339999999,-0.3961861,"St Pancras:29, Blackfriars:56",29
Maidenhead,Berkshire,GWR / Elizabeth Line,Paddington,,67,64,51.5225605,-0.7243082,Paddington:22,22
Maidstone Barracks,Kent,Medway Valley (Southern),Victoria,,56,73,51.27713379999999,0.5140449,Victoria:85,85
Maidstone East,Kent,Maidstone East Line (Southeastern),Victoria,,57,70,51.2774841,0.5202238,Victoria:73,73
Maidstone West,Kent,Medway Valley (Southern/Southeastern),Victoria / Charing Cross,,57,71,51.2706451,0.5159465999999999,"Victoria:73, Charing Cross:85",73
Manningtree,Essex,Greater Anglia,Liverpool Street,,118,79,51.9490412,1.0448923,Liverpool Street:66,66
March,Cambridgeshire,Greater Anglia,Liverpool Street,,171,93,52.55998659999999,0.0912687,Liverpool Street:100,100
Marden,Kent,Tonbridge Line (Southeastern),Charing Cross / London Bridge,,69,87,51.173613,0.490709,"Charing Cross:63, London Bridge:51",51
Margate,Kent,Chatham Main Line (Southeastern),Victoria / St Pancras,,103,110,51.3854351,1.3722782,"Victoria:115, St Pancras:89",89
Marks Tey,Essex,Greater Anglia,Liverpool Street,,96,56,51.8788911,0.7803413,Liverpool Street:60,60
Marlow,Buckinghamshire,Marlow Branch (GWR),Paddington,,72,60,51.5719443,-0.7769421999999999,Paddington:78,78
Martins Heron,Berkshire,Reading via Ascot (SWR),Waterloo,,60,71,51.4094039,-0.721989,Waterloo:71,71
Meldreth,Cambridgeshire,West Anglia Main Line (Greater Anglia),Liverpool Street,,113,34,52.0904173,0.007031300000000001,Liverpool Street:73,73
Meopham,Kent,Chatham Main Line (Southeastern),Victoria,,54,60,51.370723,0.3604859,Victoria:43,43
Merstham,Surrey,Brighton Main Line (Southern / Thameslink),Victoria / London Bridge / St Pancras,,30,79,51.26415,-0.1502,"Victoria:35, London Bridge:33, St Pancras:43",33
Micheldever,Hampshire,South Western Main Line (SWR),Waterloo,,87,107,51.1485524,-1.2666839,Waterloo:104,104
Midgham,Berkshire,GWR,Paddington,,87,84,51.3961,-1.1783,Paddington:54,54
Milford,Surrey,Portsmouth Direct (SWR),Waterloo,,38,84,51.163315,-0.6369279999999999,Waterloo:57,57
Milton Keynes Central,Buckinghamshire,West Coast Main Line (Avanti / LNR),Euston,,110,67,52.0406224,-0.7594171,Euston:37,37
Minster,Kent,Chatham Main Line (Southeastern),Victoria,,98,106,51.3292563,1.3171535,Victoria:109,109
Monks Risborough,Buckinghamshire,Chiltern Railways,Marylebone,,86,59,51.7316874,-0.8222134000000001,Marylebone:83,83
Moreton,Dorset,South Western Main Line (SWR),Waterloo,,266,231,53.4014487,-3.1115747,Waterloo:447,447
Moreton-in-Marsh,Gloucestershire,GWR,Paddington,,136,122,51.9899508,-1.703141,Paddington:91,91
Mortimer,Hampshire,Reading via Alton Line (SWR),Waterloo,,81,78,51.37211569999999,-1.0356935,Waterloo:69,69
Nailsea & Backwell,North Somerset,GWR,Paddington,,167,164,51.4194195,-2.7504556,Paddington:126,126
Needham Market,Suffolk,Greater Anglia,Liverpool Street,,130,90,52.155608,1.049566,Liverpool Street:96,96
Newbury,Berkshire,GWR,Paddington,,97,94,51.401409,-1.3231139,Paddington:61,61
Newbury Racecourse,Berkshire,GWR,Paddington,,97,94,51.3984799,-1.307276,Paddington:62,62
Newhaven Harbour,East Sussex,East Coastway / Seaford Branch (Southern),Victoria / London Bridge,,49,126,50.78978,0.05502,"Victoria:96, London Bridge:96",96
Newhaven Town,East Sussex,East Coastway / Seaford Branch (Southern),Victoria / London Bridge,,47,124,50.79484900000001,0.05497299999999999,"Victoria:96, London Bridge:96",96
New Milton,Hampshire,South Western Main Line (SWR),Waterloo,,121,150,50.75544619999999,-1.6580637,Waterloo:117,117
Newport (Essex),Essex,West Anglia Main Line (Greater Anglia),Liverpool Street,,101,34,51.97985749999999,0.2152242,Liverpool Street:67,67
Normans Bay,East Sussex,East Coastway (Southern),Victoria / London Bridge,,64,127,50.8260599,0.3943801,"Victoria:151, London Bridge:125",125
Northampton,Northamptonshire,West Coast Main Line (Avanti / LNR),Euston,,126,83,52.2371037,-0.9063141000000001,Euston:57,57
North Camp,Hampshire,North Downs Line (SWR),Waterloo,,56,71,51.2758354,-0.7311407999999999,Waterloo:58,58
Northfleet,Kent,North Kent Line (Southeastern),Charing Cross / London Bridge,,55,56,51.44107200000001,0.33694,"Charing Cross:61, London Bridge:50",50
North Walsham,Norfolk,Greater Anglia,Liverpool Street,,213,135,52.822699,1.3859729,Liverpool Street:399,399
Norwich,Norfolk,Greater Anglia,Liverpool Street,,192,115,52.62699689999999,1.3065188,Liverpool Street:117,117
Nutfield,Surrey,Redhill / Tonbridge Line (Southern),London Bridge / Victoria,,34,80,51.2397662,-0.1251628,"London Bridge:59, Victoria:57",57
Ore,East Sussex,Hastings Line (Southeastern),Charing Cross,,85,115,50.8668752,0.5913632,Charing Cross:107,107
Orpington,Greater London,Chatham / Tonbridge Line (Southeastern),Charing Cross / Victoria / London Bridge,,46,62,51.37309740000001,0.09755269999999999,"Charing Cross:27, Victoria:47, London Bridge:26",26
Otford,Kent,Maidstone East Line (Southeastern),Victoria / Charing Cross,,45,65,51.311376,0.189816,"Victoria:43, Charing Cross:44",43
Oxshott,Surrey,New Guildford Line (SWR),Waterloo,,36,73,51.334488,-0.35836,Waterloo:44,44
Oxted,Surrey,Oxted Line (Southern),Victoria / London Bridge,,33,76,51.2579001,-0.0048099,"Victoria:39, London Bridge:35",35
Oxford,Oxfordshire,GWR / Chiltern,Paddington / Marylebone,,103,90,51.7534694,-1.2699454,"Paddington:57, Marylebone:82",57
Oxford Parkway,Oxfordshire,Chiltern Railways,Marylebone,,98,85,51.8035466,-1.2749826,Marylebone:83,83
Paddock Wood,Kent,Tonbridge Line (Southeastern),Charing Cross / London Bridge,,61,80,51.1822336,0.3891721,"Charing Cross:57, London Bridge:50",50
Pangbourne,Oxfordshire,GWR,Paddington,,87,83,51.4854482,-1.0904507,Paddington:54,54
Parkstone,Dorset,South Western Main Line (SWR),Waterloo,,126,157,50.7325116,-1.952295,Waterloo:159,159
Pevensey & Westham,East Sussex,East Coastway (Southern),Victoria / London Bridge,,59,122,50.81579,0.32484,"Victoria:107, London Bridge:105",105
Pevensey Bay,East Sussex,East Coastway (Southern),Victoria / London Bridge,,58,121,50.817713,0.3429056,"Victoria:133, London Bridge:131",131
Petersfield,Hampshire,Portsmouth Direct (SWR),Waterloo,,56,101,51.00665249999999,-0.9413086,Waterloo:76,76
Pitsea,Essex,c2c,Fenchurch Street,,67,51,51.56491,0.505078,Fenchurch Street:63,63
Pluckley,Kent,Tonbridge Line (Southeastern),Charing Cross,,81,98,51.1771537,0.7560578,Charing Cross:99,99
Plumpton,East Sussex,Brighton Main Line (Southern),Victoria / London Bridge,,36,112,50.9285285,-0.05973599999999999,"Victoria:65, London Bridge:63",63
Pokesdown,Dorset,South Western Main Line (SWR),Waterloo,,120,150,50.7310092,-1.8250762,Waterloo:126,126
Polegate,East Sussex,East Coastway (Southern),Victoria / London Bridge,,53,118,50.8212443,0.2451017,"Victoria:92, London Bridge:90",90
Poole,Dorset,South Western Main Line (SWR),Waterloo,,130,160,50.71505,-1.987248,Waterloo:139,139
Portchester,Hampshire,Fareham Line (Southern / SWR),Waterloo / Victoria,,66,121,50.849505,-1.1381747,"Waterloo:116, Victoria:133",116
Portslade,East Sussex,West Coastway (Southern),Victoria,,35,115,50.83563590000001,-0.2053068,Victoria:72,72
Portsmouth & Southsea,Hampshire,Portsmouth Direct (SWR),Waterloo,,65,119,50.798481,-1.090898,Waterloo:105,105
Portsmouth Harbour,Hampshire,Portsmouth Direct (SWR),Waterloo,,67,122,50.7972192,-1.1075814,Waterloo:111,111
Potters Bar,Hertfordshire,East Coast Main Line (Thameslink),King's Cross / St Pancras,,85,22,51.696636,-0.175948,"King's Cross:25, St Pancras:26",25
Preston Park,East Sussex,Brighton Main Line (Southern / Thameslink),Victoria / London Bridge / St Pancras,,33,113,50.8459931,-0.1550507,"Victoria:63, London Bridge:64, St Pancras:82",63
Princes Risborough,Buckinghamshire,Chiltern Railways,Marylebone,,86,62,51.724376,-0.834518,Marylebone:47,47
Prittlewell,Essex,Greater Anglia,Liverpool Street,,84,63,51.5487013,0.7072254,Liverpool Street:68,68
Pulborough,West Sussex,Arun Valley (Southern),Victoria,,23,114,50.9574366,-0.5164508,Victoria:80,80
Radlett,Hertfordshire,Thameslink,St Pancras / Blackfriars,,79,29,51.68528209999999,-0.3169061,"St Pancras:34, Blackfriars:40",34
Radley,Oxfordshire,GWR,Paddington,,105,92,51.6873146,-1.2409066,Paddington:69,69
Rainham (Kent),Kent,Chatham Main Line (Southeastern),Victoria,,69,74,51.3628659,0.6112649,Victoria:67,67
Ramsgate,Kent,Chatham Main Line (Southeastern),Victoria / St Pancras,,103,110,51.34084619999999,1.4060028,"Victoria:101, St Pancras:81",81
Rayleigh,Essex,Greater Anglia,Liverpool Street,,75,54,51.586385,0.6048709999999999,Liverpool Street:49,49
Reading,Berkshire,GWR / Elizabeth Line / SWR,Paddington / Waterloo,,79,78,51.4580217,-0.9715644999999999,"Paddington:27, Waterloo:54",27
Redhill,Surrey,Brighton Main Line (Southern / Thameslink),Victoria / London Bridge / St Pancras,,34,83,51.2403534,-0.1660385,"Victoria:39, London Bridge:37, St Pancras:47",37
Reigate,Surrey,Redhill / Tonbridge Line (Southern),London Bridge / Victoria,,32,80,51.2419841,-0.203691,"London Bridge:47, Victoria:51",47
Robertsbridge,East Sussex,Hastings Line (Southeastern),Charing Cross,,72,94,50.985447,0.4744984,Charing Cross:80,80
Rochester,Kent,Chatham Main Line (Southeastern),Victoria / Charing Cross,,63,63,51.3895363,0.5068368999999999,"Victoria:55, Charing Cross:61",55
Rochford,Essex,Greater Anglia,Liverpool Street,,85,65,51.582071,0.706515,Liverpool Street:57,57
Roughton Road,Norfolk,Greater Anglia,Liverpool Street,,219,142,52.9178927,1.2997259,Liverpool Street:448,448
Rowlands Castle,Hampshire,Portsmouth Direct (SWR),Waterloo,,65,112,50.892059,-0.959088,Waterloo:93,93
Roydon,Essex,West Anglia Main Line (Greater Anglia),Liverpool Street,,88,15,51.77011940000001,0.0411358,Liverpool Street:37,37
