Station,County,Line,London_Terminus,Operator,Drive_Time_Horsham_Minutes,Drive_Time_Hertford_Minutes,Latitude,Longitude,Train_Times_To_Terminals,Min_Train_Time_Minutes
Sunnymeads,Berkshire,Windsor Line (SWR),Waterloo,,55,57,51.4698217,-0.5589021,Waterloo:57,57
Surbiton,Surrey,South Western Main Line (SWR),Waterloo,,46,77,51.3924323,-0.3045444,Waterloo:22,22
Swanley,Kent,Chatham / Maidstone East Line (Southeastern),Victoria / Charing Cross,,47,57,51.396531,0.177326,"Victoria:31, Charing Cross:33",31
Swanscombe,Kent,North Kent Line (Southeastern),Charing Cross / London Bridge,,55,55,51.4452254,0.3031822,"Charing Cross:59, London Bridge:48",48
Sway,Hampshire,South Western Main Line (SWR),Waterloo,,116,146,50.7847799,-1.6100209,Waterloo:108,108
Swindon,Wiltshire,GWR,Paddington,,118,115,51.5657902,-1.7846792,Paddington:55,55
Taplow,Berkshire,Elizabeth Line / GWR,Paddington,,63,60,51.5235529,-0.6814378999999999,Paddington:44,44
Taunton,Somerset,GWR,Paddington,,189,201,51.015344,-3.106849,Paddington:181,181
Teynham,Kent,Chatham Main Line (Southeastern),Victoria,,76,89,51.329413,0.8045319999999999,Victoria:79,79
Thatcham,Berkshire,GWR,Paddington,,94,91,51.40580500000001,-1.266468,Paddington:57,57
Theale,Berkshire,GWR,Paddington,,79,76,51.4368102,-1.0709569,Paddington:45,45
Thetford,Norfolk,Greater Anglia,Liverpool Street,,153,77,52.41902959999999,0.7455067999999999,Liverpool Street:141,141
Three Bridges,West Sussex,Brighton Main Line (Southern / Thameslink),Victoria / London Bridge / St Pancras,,17,87,51.11818239999999,-0.1615068,"Victoria:40, London Bridge:43, St Pancras:53",40
Tilbury Town,Essex,c2c,Fenchurch Street,,64,50,51.4622255,0.3540877,Fenchurch Street:47,47
Tilehurst,Berkshire,GWR,Paddington,,84,81,51.4586929,-1.042536,Paddington:62,62
Tonbridge,Kent,Tonbridge Line (Southeastern),Charing Cross / London Bridge,,50,73,51.195043,0.27568,"Charing Cross:47, London Bridge:35",35
Tottenham Hale,Greater London,West Anglia Main Line (Greater Anglia),Liverpool Street,,86,36,51.5893464,-0.0596595,Liverpool Street:20,20
Totton,Hampshire,South Western Main Line (SWR),Waterloo,,95,125,50.91793089999999,-1.4825255,Waterloo:88,88
Tring,Hertfordshire,West Coast Main Line (LNR),Euston,,83,47,51.79607799999999,-0.655879,Euston:62,62
Trowbridge,Wiltshire,GWR,Paddington,,150,153,51.31979279999999,-2.2142796,Paddington:127,127
Tunbridge Wells,Kent,Hastings Line (Southeastern),Charing Cross,,53,78,51.132377,0.263695,Charing Cross:60,60
Twyford,Berkshire,GWR / Elizabeth Line,Paddington,,76,73,51.4755668,-0.8631605,Paddington:31,31
